rep,trafego,proto,ber,delay,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
0,500m,cubic,0,10000,20230929021125.804,10.0.3.20,59908,10.0.1.20,5001,3,0.0-120.0,6976831488,465114723
0,500m,cubic,0,20000,20230929021326.894,10.0.3.20,34922,10.0.1.20,5001,3,0.0-120.0,4521721856,301369679
0,500m,reno,0,10000,20230929021528.004,10.0.3.20,58198,10.0.1.20,5001,3,0.0-120.0,6795165696,452989725
0,500m,reno,0,20000,20230929021729.113,10.0.3.20,34606,10.0.1.20,5001,3,0.0-120.0,4906024960,326997110
0,750m,cubic,0,10000,20230929021930.174,10.0.3.20,44276,10.0.1.20,5001,3,0.0-120.0,3196977152,213121617
0,750m,cubic,0,20000,20230929022131.773,10.0.3.20,52582,10.0.1.20,5001,3,0.0-120.5,2097152,139180
0,750m,reno,0,10000,20230929022332.902,10.0.3.20,50154,10.0.1.20,5001,3,0.0-120.0,2936799232,195741637
0,750m,reno,0,20000,20230929022535.801,10.0.3.20,40544,10.0.1.20,5001,3,0.0-121.8,2621440,172210
1,500m,cubic,0,10000,20230929022736.891,10.0.3.20,36404,10.0.1.20,5001,3,0.0-120.0,6964903936,464295295
1,500m,cubic,0,20000,20230929022938.031,10.0.3.20,36550,10.0.1.20,5001,3,0.0-120.0,4655546368,310363092
1,500m,reno,0,10000,20230929023139.143,10.0.3.20,50840,10.0.1.20,5001,3,0.0-120.0,6805651456,453661162
1,500m,reno,0,20000,20230929023340.234,10.0.3.20,51246,10.0.1.20,5001,3,0.0-120.0,4535091200,302295837
1,750m,cubic,0,10000,20230929023541.342,10.0.3.20,47724,10.0.1.20,5001,3,0.0-120.0,3205496832,213658150
1,750m,cubic,0,20000,20230929023743.233,10.0.3.20,48160,10.0.1.20,5001,3,0.0-120.8,1703936,112874
1,750m,reno,0,10000,20230929023944.303,10.0.3.20,48096,10.0.1.20,5001,3,0.0-120.0,2937454592,195820885
1,750m,reno,0,20000,20230929024145.919,10.0.3.20,45708,10.0.1.20,5001,3,0.0-120.5,2621440,174041
2,500m,cubic,0,10000,20230929024347.005,10.0.3.20,40370,10.0.1.20,5001,3,0.0-120.0,6963200000,464197597
2,500m,cubic,0,20000,20230929024548.197,10.0.3.20,43566,10.0.1.20,5001,3,0.0-120.0,4541382656,302677842
2,500m,reno,0,10000,20230929024749.299,10.0.3.20,50660,10.0.1.20,5001,3,0.0-120.0,6808272896,453846615
2,500m,reno,0,20000,20230929024950.446,10.0.3.20,33926,10.0.1.20,5001,3,0.0-120.0,5287575552,352448683
2,750m,cubic,0,10000,20230929025151.559,10.0.3.20,48672,10.0.1.20,5001,3,0.0-120.0,3231580160,215436713
2,750m,cubic,0,20000,20230929025353.250,10.0.3.20,34422,10.0.1.20,5001,3,0.0-120.6,2490368,165203
2,750m,reno,0,10000,20230929025554.350,10.0.3.20,35864,10.0.1.20,5001,3,0.0-120.1,2938634240,195820877
2,750m,reno,0,20000,20230929025755.749,10.0.3.20,41850,10.0.1.20,5001,3,0.0-120.3,2490368,165561
3,500m,cubic,0,10000,20230929025956.881,10.0.3.20,46742,10.0.1.20,5001,3,0.0-120.0,6965035008,464265744
3,500m,cubic,0,20000,20230929030157.956,10.0.3.20,60942,10.0.1.20,5001,3,0.0-120.0,4755947520,317022417
3,500m,reno,0,10000,20230929030359.059,10.0.3.20,57120,10.0.1.20,5001,3,0.0-120.0,6806044672,453681756
3,500m,reno,0,20000,20230929030600.190,10.0.3.20,60718,10.0.1.20,5001,3,0.0-120.0,4792385536,319487382
3,750m,cubic,0,10000,20230929030801.297,10.0.3.20,47220,10.0.1.20,5001,3,0.0-120.0,3198156800,213146186
3,750m,cubic,0,20000,20230929031003.189,10.0.3.20,37814,10.0.1.20,5001,3,0.0-120.9,2359296,156178
3,750m,reno,0,10000,20230929031204.264,10.0.3.20,56166,10.0.1.20,5001,3,0.0-120.0,2937323520,195812790
3,750m,reno,0,20000,20230929031406.451,10.0.3.20,42910,10.0.1.20,5001,3,0.0-121.1,2228224,147233
4,500m,cubic,0,10000,20230929031607.563,10.0.3.20,48230,10.0.1.20,5001,3,0.0-120.0,6965166080,464282071
4,500m,cubic,0,20000,20230929031808.665,10.0.3.20,58288,10.0.1.20,5001,3,0.0-120.0,4584112128,305555907
4,500m,reno,0,10000,20230929032009.836,10.0.3.20,37374,10.0.1.20,5001,3,0.0-120.0,6806700032,453718734
4,500m,reno,0,20000,20230929032210.909,10.0.3.20,54414,10.0.1.20,5001,3,0.0-120.0,5300682752,353350143
4,750m,cubic,0,10000,20230929032412.051,10.0.3.20,41016,10.0.1.20,5001,3,0.0-120.0,3155820544,210320095
4,750m,cubic,0,20000,20230929032613.619,10.0.3.20,56348,10.0.1.20,5001,3,0.0-120.5,2097152,139253
4,750m,reno,0,10000,20230929032814.760,10.0.3.20,42926,10.0.1.20,5001,3,0.0-120.0,2939289600,195902830
4,750m,reno,0,20000,20230929033018.645,10.0.3.20,52838,10.0.1.20,5001,3,0.0-122.7,2490368,162330
5,500m,cubic,0,10000,20230929033219.761,10.0.3.20,40286,10.0.1.20,5001,3,0.0-120.0,6964772864,464270065
5,500m,cubic,0,20000,20230929033420.830,10.0.3.20,45704,10.0.1.20,5001,3,0.0-120.0,4303749120,286916469
5,500m,reno,0,10000,20230929033621.875,10.0.3.20,47906,10.0.1.20,5001,3,0.0-120.0,6806831104,453756345
5,500m,reno,0,20000,20230929033822.952,10.0.3.20,52322,10.0.1.20,5001,3,0.0-120.0,5331615744,355390033
5,750m,cubic,0,10000,20230929034024.149,10.0.3.20,55718,10.0.1.20,5001,3,0.0-120.0,3184656384,212231054
5,750m,cubic,0,20000,20230929034225.683,10.0.3.20,48070,10.0.1.20,5001,3,0.0-120.5,1572864,104449
5,750m,reno,0,10000,20230929034426.870,10.0.3.20,44630,10.0.1.20,5001,3,0.0-120.0,2903244800,193489358
5,750m,reno,0,20000,20230929034628.683,10.0.3.20,37678,10.0.1.20,5001,3,0.0-120.8,2752512,182327
6,500m,cubic,0,10000,20230929034829.801,10.0.3.20,58268,10.0.1.20,5001,3,0.0-120.0,6964248576,464280595
6,500m,cubic,0,20000,20230929035030.934,10.0.3.20,57680,10.0.1.20,5001,3,0.0-120.0,4645584896,309673327
6,500m,reno,0,10000,20230929035231.996,10.0.3.20,38396,10.0.1.20,5001,3,0.0-120.0,6722027520,448086864
6,500m,reno,0,20000,20230929035433.151,10.0.3.20,57380,10.0.1.20,5001,3,0.0-120.0,5321129984,354705278
6,750m,cubic,0,10000,20230929035634.301,10.0.3.20,47580,10.0.1.20,5001,3,0.0-120.0,3200385024,213314262
6,750m,cubic,0,20000,20230929035835.962,10.0.3.20,51164,10.0.1.20,5001,3,0.0-120.5,1966080,130481
6,750m,reno,0,10000,20230929040037.111,10.0.3.20,49940,10.0.1.20,5001,3,0.0-120.0,2935226368,195639201
6,750m,reno,0,20000,20230929040238.748,10.0.3.20,36032,10.0.1.20,5001,3,0.0-120.6,2490368,165262
7,500m,cubic,0,10000,20230929040440.061,10.0.3.20,43150,10.0.1.20,5001,3,0.0-120.0,6964379648,464270140
7,500m,cubic,0,20000,20230929040641.152,10.0.3.20,48848,10.0.1.20,5001,3,0.0-120.0,4324851712,288320213
7,500m,reno,0,10000,20230929040842.260,10.0.3.20,48626,10.0.1.20,5001,3,0.0-120.0,6804209664,453593460
7,500m,reno,0,20000,20230929041043.340,10.0.3.20,47698,10.0.1.20,5001,3,0.0-120.0,4843503616,322882939
7,750m,cubic,0,10000,20230929041244.480,10.0.3.20,46624,10.0.1.20,5001,3,0.0-120.0,3204317184,213575566
7,750m,cubic,0,20000,20230929041446.439,10.0.3.20,33308,10.0.1.20,5001,3,0.0-120.9,2490368,164819
7,750m,reno,0,10000,20230929041647.580,10.0.3.20,33520,10.0.1.20,5001,3,0.0-120.0,2914516992,194237023
7,750m,reno,0,20000,20230929041848.712,10.0.3.20,56238,10.0.1.20,5001,3,0.0-120.1,2883584,192118
8,500m,cubic,0,10000,20230929042049.794,10.0.3.20,49306,10.0.1.20,5001,3,0.0-120.0,6964248576,464270401
8,500m,cubic,0,20000,20230929042250.923,10.0.3.20,49688,10.0.1.20,5001,3,0.0-120.0,4876926976,325058130
8,500m,reno,0,10000,20230929042451.994,10.0.3.20,44672,10.0.1.20,5001,3,0.0-120.0,6800670720,453374946
8,500m,reno,0,20000,20230929042653.070,10.0.3.20,43972,10.0.1.20,5001,3,0.0-120.0,5289410560,352573033
8,750m,cubic,0,10000,20230929042854.225,10.0.3.20,42566,10.0.1.20,5001,3,0.0-120.0,3198550016,213197261
8,750m,cubic,0,20000,20230929043055.622,10.0.3.20,43330,10.0.1.20,5001,3,0.0-120.3,2359296,156840
8,750m,reno,0,10000,20230929043256.767,10.0.3.20,41760,10.0.1.20,5001,3,0.0-120.0,2917269504,194412632
8,750m,reno,0,20000,20230929043458.172,10.0.3.20,36808,10.0.1.20,5001,3,0.0-120.3,2228224,148227
9,500m,cubic,0,10000,20230929043659.265,10.0.3.20,40960,10.0.1.20,5001,3,0.0-120.0,6961364992,464032948
9,500m,cubic,0,20000,20230929043900.309,10.0.3.20,33502,10.0.1.20,5001,3,0.0-120.0,4616355840,307716611
9,500m,reno,0,10000,20230929044101.379,10.0.3.20,56156,10.0.1.20,5001,3,0.0-120.0,6805520384,453661689
9,500m,reno,0,20000,20230929044302.500,10.0.3.20,59812,10.0.1.20,5001,3,0.0-120.0,5288099840,352529998
9,750m,cubic,0,10000,20230929044503.611,10.0.3.20,48508,10.0.1.20,5001,3,0.0-120.0,3203268608,213547935
9,750m,cubic,0,20000,20230929044705.481,10.0.3.20,38470,10.0.1.20,5001,3,0.0-120.8,2359296,156250
9,750m,reno,0,10000,20230929044906.604,10.0.3.20,39236,10.0.1.20,5001,3,0.0-120.0,2932080640,195431620
9,750m,reno,0,20000,20230929045108.065,10.0.3.20,40580,10.0.1.20,5001,3,0.0-120.4,2752512,182915
