time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922015420,10.0.3.20,44962,10.0.1.20,5001,3,0.0-5.0,287834112,460534579
20230922015425,10.0.3.20,44962,10.0.1.20,5001,3,5.0-10.0,290062336,464099737
20230922015430,10.0.3.20,44962,10.0.1.20,5001,3,10.0-15.0,289538048,463260876
20230922015435,10.0.3.20,44962,10.0.1.20,5001,3,15.0-20.0,290979840,465567744
20230922015440,10.0.3.20,44962,10.0.1.20,5001,3,20.0-25.0,290717696,465148313
20230922015445,10.0.3.20,44962,10.0.1.20,5001,3,25.0-30.0,289538048,463260876
20230922015450,10.0.3.20,44962,10.0.1.20,5001,3,30.0-35.0,291110912,465777459
20230922015455,10.0.3.20,44962,10.0.1.20,5001,3,35.0-40.0,289538048,463260876
20230922015500,10.0.3.20,44962,10.0.1.20,5001,3,40.0-45.0,290979840,465567744
20230922015505,10.0.3.20,44962,10.0.1.20,5001,3,45.0-50.0,290324480,464519168
20230922015510,10.0.3.20,44962,10.0.1.20,5001,3,50.0-55.0,290324480,464519168
20230922015515,10.0.3.20,44962,10.0.1.20,5001,3,55.0-60.0,289538048,463260876
20230922015520,10.0.3.20,44962,10.0.1.20,5001,3,60.0-65.0,290979840,465567744
20230922015525,10.0.3.20,44962,10.0.1.20,5001,3,65.0-70.0,289406976,463051161
20230922015530,10.0.3.20,44962,10.0.1.20,5001,3,70.0-75.0,290979840,465567744
20230922015535,10.0.3.20,44962,10.0.1.20,5001,3,75.0-80.0,290848768,465358028
20230922015540,10.0.3.20,44962,10.0.1.20,5001,3,80.0-85.0,289538048,463260876
20230922015545,10.0.3.20,44962,10.0.1.20,5001,3,85.0-90.0,290979840,465567744
20230922015550,10.0.3.20,44962,10.0.1.20,5001,3,90.0-95.0,290193408,464309452
20230922015555,10.0.3.20,44962,10.0.1.20,5001,3,95.0-100.0,290324480,464519168
20230922015600,10.0.3.20,44962,10.0.1.20,5001,3,100.0-105.0,290979840,465567744
20230922015605,10.0.3.20,44962,10.0.1.20,5001,3,105.0-110.0,289538048,463260876
20230922015610,10.0.3.20,44962,10.0.1.20,5001,3,110.0-115.0,290979840,465567744
20230922015615,10.0.3.20,44962,10.0.1.20,5001,3,115.0-120.0,314048512,502477619
20230922015615,10.0.3.20,44962,10.0.1.20,5001,3,0.0-120.0,6989283328,465929003
