time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
20230922014136,10.0.3.20,60644,10.0.1.20,5001,3,0.0-5.0,134348800,214958080
20230922014141,10.0.3.20,60644,10.0.1.20,5001,3,5.0-10.0,119013376,190421401
20230922014146,10.0.3.20,60644,10.0.1.20,5001,3,10.0-15.0,120455168,192728268
20230922014151,10.0.3.20,60644,10.0.1.20,5001,3,15.0-20.0,120455168,192728268
20230922014156,10.0.3.20,60644,10.0.1.20,5001,3,20.0-25.0,119406592,191050547
20230922014201,10.0.3.20,60644,10.0.1.20,5001,3,25.0-30.0,122028032,195244851
20230922014206,10.0.3.20,60644,10.0.1.20,5001,3,30.0-35.0,123207680,197132288
20230922014211,10.0.3.20,60644,10.0.1.20,5001,3,35.0-40.0,116129792,185807667
20230922014216,10.0.3.20,60644,10.0.1.20,5001,3,40.0-45.0,98959360,158334976
20230922014221,10.0.3.20,60644,10.0.1.20,5001,3,45.0-50.0,119537664,191260262
20230922014226,10.0.3.20,60644,10.0.1.20,5001,3,50.0-55.0,123338752,197342003
20230922014231,10.0.3.20,60644,10.0.1.20,5001,3,55.0-60.0,122421248,195873996
20230922014236,10.0.3.20,60644,10.0.1.20,5001,3,60.0-65.0,125173760,200278016
20230922014241,10.0.3.20,60644,10.0.1.20,5001,3,65.0-70.0,126091264,201746022
20230922014246,10.0.3.20,60644,10.0.1.20,5001,3,70.0-75.0,120979456,193567129
20230922014251,10.0.3.20,60644,10.0.1.20,5001,3,75.0-80.0,119275520,190840832
20230922014256,10.0.3.20,60644,10.0.1.20,5001,3,80.0-85.0,120717312,193147699
20230922014301,10.0.3.20,60644,10.0.1.20,5001,3,85.0-90.0,120848384,193357414
20230922014306,10.0.3.20,60644,10.0.1.20,5001,3,90.0-95.0,122028032,195244851
20230922014311,10.0.3.20,60644,10.0.1.20,5001,3,95.0-100.0,122159104,195454566
20230922014316,10.0.3.20,60644,10.0.1.20,5001,3,100.0-105.0,124911616,199858585
20230922014321,10.0.3.20,60644,10.0.1.20,5001,3,105.0-110.0,126091264,201746022
20230922014326,10.0.3.20,60644,10.0.1.20,5001,3,110.0-115.0,123338752,197342003
20230922014331,10.0.3.20,60644,10.0.1.20,5001,3,115.0-120.0,119406592,191050547
20230922014331,10.0.3.20,60644,10.0.1.20,5001,3,0.0-120.0,2910322688,193985571
