rep,trafego,proto,ber,delay,time,addrsrc,portsrc,addrdest,portdest,nsei,nsei,transfbits,bps
0,500m,cubic,100000,10000,20230911154647.503,10.0.1.20,5001,10.0.3.20,33078,4,0.0-5.9,2228224,3014945
0,500m,cubic,100000,100000,20230911154658.179,10.0.1.20,5001,10.0.3.20,58810,4,0.0-6.1,26064,34115
0,500m,cubic,1000000,10000,20230911154708.659,10.0.1.20,5001,10.0.3.20,51572,4,0.0-6.0,198610576,264358611
0,500m,cubic,1000000,100000,20230911154719.988,10.0.1.20,5001,10.0.3.20,56612,4,0.0-6.0,159280,212019
0,500m,reno,100000,10000,20230911154730.911,10.0.1.20,5001,10.0.3.20,35784,4,0.0-6.1,5957072,7863824
0,500m,reno,100000,100000,20230911154742.785,10.0.1.20,5001,10.0.3.20,33268,4,0.0-6.0,52128,69378
0,500m,reno,1000000,10000,20230911154752.745,10.0.1.20,5001,10.0.3.20,57168,4,0.0-5.6,11403264,16366293
0,500m,reno,1000000,100000,20230911154804.732,10.0.1.20,5001,10.0.3.20,35152,4,0.0-6.2,66608,85442
0,750m,cubic,100000,10000,20230911154814.983,10.0.1.20,5001,10.0.3.20,60046,4,0.0-5.6,2097152,2980687
0,750m,cubic,100000,100000,20230911154826.713,10.0.1.20,5001,10.0.3.20,36506,4,0.0-6.1,2896,3812
0,750m,cubic,1000000,10000,20230911154837.567,10.0.1.20,5001,10.0.3.20,48314,4,0.0-6.0,116536752,155222844
0,750m,cubic,1000000,100000,20230911154852.217,10.0.1.20,5001,10.0.3.20,54302,4,0.0-5.7,108600,153717
0,750m,reno,100000,10000,20230911154901.852,10.0.1.20,5001,10.0.3.20,48836,4,0.0-6.0,4726272,6271044
0,750m,reno,100000,100000,20230911154911.387,10.0.1.20,5001,10.0.3.20,53562,4,0.0-6.2,44888,57472
0,750m,reno,1000000,10000,20230911154922.010,10.0.1.20,5001,10.0.3.20,57460,4,0.0-6.0,49848848,66349041
0,750m,reno,1000000,100000,20230911154933.466,10.0.1.20,5001,10.0.3.20,55182,4,0.0-6.2,36200,46786
1,500m,cubic,100000,10000,20230911154944.175,10.0.1.20,5001,10.0.3.20,55266,4,0.0-6.0,9197696,12192381
1,500m,cubic,100000,100000,20230911154955.544,10.0.1.20,5001,10.0.3.20,42006,4,0.0-6.1,0,0
1,500m,cubic,1000000,10000,20230911155006.278,10.0.1.20,5001,10.0.3.20,42106,4,0.0-6.0,86762880,115617783
1,500m,cubic,1000000,100000,20230911155017.882,10.0.1.20,5001,10.0.3.20,60350,4,0.0-6.2,27512,35323
1,500m,reno,100000,10000,20230911155028.551,10.0.1.20,5001,10.0.3.20,47780,4,0.0-6.0,5767168,7650048
1,500m,reno,100000,100000,20230911155039.865,10.0.1.20,5001,10.0.3.20,48004,4,0.0-6.0,2896,3830
1,500m,reno,1000000,10000,20230911155049.892,10.0.1.20,5001,10.0.3.20,49226,4,0.0-5.2,7602176,11771730
1,500m,reno,1000000,100000,20230911155102.267,10.0.1.20,5001,10.0.3.20,48864,4,0.0-6.0,57920,76664
1,750m,cubic,100000,10000,20230911155112.928,10.0.1.20,5001,10.0.3.20,60754,4,0.0-6.0,11216208,14940712
1,750m,cubic,100000,100000,20230911155124.729,10.0.1.20,5001,10.0.3.20,37816,4,0.0-6.2,31856,40838
1,750m,cubic,1000000,10000,20230911155135.222,10.0.1.20,5001,10.0.3.20,41012,4,0.0-6.0,71828448,95680112
1,750m,cubic,1000000,100000,20230911155146.685,10.0.1.20,5001,10.0.3.20,57166,4,0.0-6.0,56472,74997
1,750m,reno,100000,10000,20230911155157.146,10.0.1.20,5001,10.0.3.20,51814,4,0.0-5.6,2490368,3578071
1,750m,reno,100000,100000,20230911155209.055,10.0.1.20,5001,10.0.3.20,56738,4,0.0-6.2,36200,46841
1,750m,reno,1000000,10000,20230911155219.555,10.0.1.20,5001,10.0.3.20,48942,4,0.0-5.8,13369344,18443473
1,750m,reno,1000000,100000,20230911155231.356,10.0.1.20,5001,10.0.3.20,38304,4,0.0-6.3,1448,1847
2,500m,cubic,100000,10000,20230911155241.704,10.0.1.20,5001,10.0.3.20,38980,4,0.0-5.8,2228224,3097869
2,500m,cubic,100000,100000,20230911155253.979,10.0.1.20,5001,10.0.3.20,59178,4,0.0-6.0,69504,92122
2,500m,cubic,1000000,10000,20230911155304.221,10.0.1.20,5001,10.0.3.20,38750,4,0.0-6.0,99555984,132533433
2,500m,cubic,1000000,100000,20230911155315.675,10.0.1.20,5001,10.0.3.20,39098,4,0.0-6.1,70952,92325
2,500m,reno,100000,10000,20230911155325.621,10.0.1.20,5001,10.0.3.20,39628,4,0.0-5.2,1835008,2803170
2,500m,reno,100000,100000,20230911155338.747,10.0.1.20,5001,10.0.3.20,43562,4,0.0-6.0,83984,111835
2,500m,reno,1000000,10000,20230911155348.590,10.0.1.20,5001,10.0.3.20,57062,4,0.0-6.0,28902080,38479650
2,500m,reno,1000000,100000,20230911155400.111,10.0.1.20,5001,10.0.3.20,41784,4,0.0-6.0,57920,77018
2,750m,cubic,100000,10000,20230911155410.793,10.0.1.20,5001,10.0.3.20,50712,4,0.0-6.0,8004544,10640933
2,750m,cubic,100000,100000,20230911155422.362,10.0.1.20,5001,10.0.3.20,34184,4,0.0-6.3,52128,66530
2,750m,cubic,1000000,10000,20230911155432.508,10.0.1.20,5001,10.0.3.20,39922,4,0.0-5.5,9961472,14490259
2,750m,cubic,1000000,100000,20230911155444.542,10.0.1.20,5001,10.0.3.20,35164,4,0.0-6.2,124528,160782
2,750m,reno,100000,10000,20230911155454.741,10.0.1.20,5001,10.0.3.20,50002,4,0.0-5.5,2359296,3407561
2,750m,reno,100000,100000,2,750m,reno,1000000,10000,20230911155516.794,10.0.1.20,5001,10.0.3.20,34094,4,0.0-5.4,9306112,13910723
2,750m,reno,1000000,100000,20230911155528.768,10.0.1.20,5001,10.0.3.20,59818,4,0.0-6.0,28960,38534
3,500m,cubic,100000,10000,20230911155539.702,10.0.1.20,5001,10.0.3.20,55088,4,0.0-6.0,4381648,5803499
3,500m,cubic,100000,100000,20230911155551.070,10.0.1.20,5001,10.0.3.20,45702,4,0.0-6.1,5792,7607
3,500m,cubic,1000000,10000,20230911155601.902,10.0.1.20,5001,10.0.3.20,43930,4,0.0-6.0,158969152,211833499
3,500m,cubic,1000000,100000,20230911155613.979,10.0.1.20,5001,10.0.3.20,47566,4,0.0-6.1,55024,71759
3,500m,reno,100000,10000,20230911155623.708,10.0.1.20,5001,10.0.3.20,50924,4,0.0-5.6,2752512,3942965
3,500m,reno,100000,100000,3,500m,reno,1000000,10000,20230911155640.248,10.0.1.20,5001,10.0.3.20,36312,4,0.0-1.3,108600,667052
bind failed: Address already in use
20230911155646.370,10.0.1.20,5001,10.0.3.20,38334,4,0.0-6.0,159371888,212347525
3,500m,reno,1000000,100000,20230911155658.620,10.0.1.20,5001,10.0.3.20,50648,4,0.0-6.3,46336,58954
3,750m,cubic,100000,10000,20230911155708.034,10.0.1.20,5001,10.0.3.20,44860,4,0.0-5.4,2490368,3659163
3,750m,cubic,100000,100000,20230911155719.972,10.0.1.20,5001,10.0.3.20,56878,4,0.0-6.1,37648,49113
3,750m,cubic,1000000,10000,20230911155730.686,10.0.1.20,5001,10.0.3.20,47082,4,0.0-6.0,123900528,164703053
3,750m,cubic,1000000,100000,20230911155742.690,10.0.1.20,5001,10.0.3.20,42998,4,0.0-6.0,15928,21069
3,750m,reno,100000,10000,20230911155752.800,10.0.1.20,5001,10.0.3.20,55220,4,0.0-5.9,800048,1090300
3,750m,reno,100000,100000,20230911155804.385,10.0.1.20,5001,10.0.3.20,33918,4,0.0-6.1,59368,77502
3,750m,reno,1000000,10000,20230911155814.497,10.0.1.20,5001,10.0.3.20,33090,4,0.0-5.3,14155776,21236185
3,750m,reno,1000000,100000,4,500m,cubic,100000,10000,20230911155836.432,10.0.1.20,5001,10.0.3.20,54670,4,0.0-5.1,1835008,2869700
4,500m,cubic,100000,100000,20230911155848.857,10.0.1.20,5001,10.0.3.20,42940,4,0.0-6.2,68056,87659
4,500m,cubic,1000000,10000,20230911155859.570,10.0.1.20,5001,10.0.3.20,39970,4,0.0-6.0,100644336,133816223
4,500m,cubic,1000000,100000,20230911155911.329,10.0.1.20,5001,10.0.3.20,34142,4,0.0-6.3,34752,44104
4,500m,reno,100000,10000,20230911155921.612,10.0.1.20,5001,10.0.3.20,41556,4,0.0-5.7,2228224,3116223
4,500m,reno,100000,100000,20230911155933.246,10.0.1.20,5001,10.0.3.20,48776,4,0.0-6.1,0,0
4,500m,reno,1000000,10000,20230911155943.374,10.0.1.20,5001,10.0.3.20,45068,4,0.0-5.4,10223616,15279070
4,500m,reno,1000000,100000,4,750m,cubic,100000,10000,bind failed: Address already in use
20230911160000.191,10.0.1.20,5001,10.0.3.20,45618,4,0.0-1.3,108600,661813
20230911160007.234,10.0.1.20,5001,10.0.3.20,55854,4,0.0-6.0,5314160,7082413
4,750m,cubic,100000,100000,20230911160017.562,10.0.1.20,5001,10.0.3.20,37854,4,0.0-6.0,28960,38570
4,750m,cubic,1000000,10000,20230911160028.430,10.0.1.20,5001,10.0.3.20,41122,4,0.0-6.0,57740448,76929438
4,750m,cubic,1000000,100000,20230911160039.836,10.0.1.20,5001,10.0.3.20,43804,4,0.0-6.2,110048,142729
4,750m,reno,100000,10000,20230911160050.542,10.0.1.20,5001,10.0.3.20,51034,4,0.0-6.0,7790240,10370723
4,750m,reno,100000,100000,20230911160102.079,10.0.1.20,5001,10.0.3.20,57720,4,0.0-6.0,49232,65208
4,750m,reno,1000000,10000,20230911160112.782,10.0.1.20,5001,10.0.3.20,56892,4,0.0-6.0,54957392,73071751
4,750m,reno,1000000,100000,20230911160124.505,10.0.1.20,5001,10.0.3.20,39934,4,0.0-6.2,27512,35339
5,500m,cubic,100000,10000,20230911160134.982,10.0.1.20,5001,10.0.3.20,57020,4,0.0-6.0,4089152,5420342
5,500m,cubic,100000,100000,20230911160146.566,10.0.1.20,5001,10.0.3.20,37256,4,0.0-6.3,27512,34825
5,500m,cubic,1000000,10000,20230911160156.619,10.0.1.20,5001,10.0.3.20,51050,4,0.0-5.5,9699328,14176793
5,500m,cubic,1000000,100000,20230911160208.508,10.0.1.20,5001,10.0.3.20,43264,4,0.0-6.0,69504,92116
5,500m,reno,100000,10000,20230911160218.950,10.0.1.20,5001,10.0.3.20,46630,4,0.0-5.6,2752512,3924235
5,500m,reno,100000,100000,5,500m,reno,1000000,10000,20230911160235.408,10.0.1.20,5001,10.0.3.20,38392,4,0.0-6.0,78192,104207
20230911160241.559,10.0.1.20,5001,10.0.3.20,39350,4,0.0-6.0,28458992,37887436
